127.0.0.1 - - [31/Dec/2022:11:23:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:42 +0530] "GET /Online_Voting_System/ HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:42 +0530] "GET /Online_Voting_System/style.css?v=%3C?=$version?%3E HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:49 +0530] "POST /Online_Voting_System/voterLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:49 +0530] "GET /Online_Voting_System/userlog.jsp HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:23:49 +0530] "GET /Online_Voting_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:01 +0530] "POST /Online_Voting_System/vote HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:01 +0530] "GET /Online_Voting_System/voteDone.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:18 +0530] "GET /Online_Voting_System/home.jsp HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:22 +0530] "GET /Online_Voting_System/admin.jsp HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:39 +0530] "POST /Online_Voting_System/adminWelcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:40 +0530] "GET /Online_Voting_System/adminwel.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:24:43 +0530] "GET /Online_Voting_System/result.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:40:53 +0530] "GET /Online_Voting_System/result.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:40:54 +0530] "GET /Online_Voting_System/result.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:40:54 +0530] "GET /Online_Voting_System/result.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:00 +0530] "GET /Online_Voting_System/home.jsp HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:07 +0530] "GET /Online_Voting_System/home.jsp?voterNumber=AFMPU0646M HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:13 +0530] "GET /Online_Voting_System/admin.jsp HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:26 +0530] "POST /Online_Voting_System/adminWelcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:26 +0530] "GET /Online_Voting_System/adminwel.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:29 +0530] "GET /Online_Voting_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:29 +0530] "GET /Online_Voting_System/index.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:35 +0530] "POST /Online_Voting_System/voterLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:35 +0530] "GET /Online_Voting_System/userlog.jsp HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:44 +0530] "POST /Online_Voting_System/vote HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:44 +0530] "GET /Online_Voting_System/voteDone.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:42:47 +0530] "GET /Online_Voting_System/home.jsp HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:43:01 +0530] "GET /Online_Voting_System/admin.jsp HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:43:11 +0530] "POST /Online_Voting_System/adminWelcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:43:11 +0530] "GET /Online_Voting_System/adminwel.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [31/Dec/2022:11:43:15 +0530] "GET /Online_Voting_System/result.jsp HTTP/1.1" 200 1308
